Food,File,Cost ($),Size (g),Unit Cost ($/g),Score,Glycemic Index,Gluten Free,Vegetarian,Dairy Free,Vegan,Nut Free,Sugar Free,Add Sug per 100 g,Sug Alc per 100 g,Allulose per 100 g,Lactose per 100 g,Gluten Protein %,Soluble Fiber %,Link
"Chickpeas, NOT drained or rinsed",chickpea-whole,0.86,439.00,0.00196,9.7,16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Banana Bread Hummus Spread,bb-hummus,2.29,653.00,0.00351,8.2,40,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0.0,0.0,0.0,0.0,0,35,/recipes/banana-bread-hummus
Hummus,hummus-homemade-100g,1.73,427.50,0.00405,9.3,27,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,/hummus
Classic tahini hummus,hummus-homemade-100g,1.73,427.50,0.00405,9.3,27,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,/recipes/classic-tahini-hummus
Chickpea flour,chickpea-flour,1.50,454.00,0.00330,9.2,38,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,/misc/homemade-flours
Chickpea pasta,red-lentil-pasta,3.18,224.00,0.01420,8.7,44,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,https://amzn.to/4kdHvoC
"Pinto beans, drained and rinsed",pinto-drained,0.86,255.00,0.00337,9.7,39,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
"Pinto Beans, drained and rinsed",pinto-drained,0.86,255.00,0.00337,9.7,39,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
"Pinto beans, drained",pinto-drained,0.86,255.00,0.00337,9.7,39,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
"Pinto beans, NOT drained or rinsed",pinto-whole,0.86,439.00,0.00196,9.7,16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
"Black beans, drained and rinsed",black-bean-drained,0.86,255.00,0.00337,9.8,30,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
"Black beans, NOT drained or rinsed",black-bean-whole,0.86,439.00,0.00196,9.8,17,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Cooked black beans,black-bean-drained,0.86,255.00,0.00337,9.8,30,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
"Kidney beans, drained and rinsed",kidney-drained,0.86,255.00,0.00337,9.6,24,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
"Kidney beans, NOT drained or rinsed",kidney-whole,0.86,439.00,0.00196,9.6,14,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
"Navy beans, drained and rinsed",kidney-drained,0.86,255.00,0.00337,9.7,29,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
"Navy beans, lightly drained",kidney-drained,0.86,255.00,0.00337,9.7,29,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
"Navy beans, NOT drained or rinsed",kidney-whole,0.86,439.00,0.00196,9.7,14,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Cooked navy beans,kidney-drained,0.86,255.00,0.00337,9.7,29,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
"Great northern beans, drained and rinsed",kidney-drained,0.86,255.00,0.00337,9.6,29,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
"Cannellini beans, drained and rinsed",kidney-drained,0.86,255.00,0.00337,9.8,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
"Beans, drained and rinsed",black-bean-drained,0.86,255.00,0.00337,9.8,30,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
"Beans, NOT drained or rinsed",black-bean-whole,0.86,439.00,0.00196,9.8,16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Dried beans,black-beans,1.00,454.00,0.00220,9.7,33,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Slow Cooker Dried Beans,crockpot-beans,1.00,"1,269.00",0.00079,9.6,33,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,/recipes/slow-cooked-beans
Lentils,red-lentils,1.50,454.00,0.00330,9.7,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Red lentils,red-lentils,1.50,454.00,0.00330,9.7,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Red split lentils,red-lentils,1.50,454.00,0.00330,9.7,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Red lentil pasta,red-lentil-pasta,3.00,249.04,0.01205,8.7,44,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,https://amzn.to/3SlgvaD
Low sodium soy sauce,soy-sauce,1.58,420.00,0.00376,2.5,15,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,75,30,
"Soy sauce, low sodium, gluten free",soy-sauce,3.99,300.00,0.01330,2.5,15,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,https://amzn.to/44VXByC
"Soy sauce, shoyu",shoyu,1.58,450.00,0.00351,2.5,15,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,75,30,
"Tofu, firm",tofu,2.00,454.00,0.00441,9.8,15,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Miso,miso,3.99,454.00,0.00879,2.5,42,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,https://amzn.to/49bU693
Extra virgin olive oil,olive-oil,6.72,476.00,0.01412,4.0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,0,
Extra virgin coconut oil,coconut-oil,5.98,392.00,0.01526,4.0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,0,
"Extra virgin coconut oil, or extra virgin olive oil",coconut-oil,5.98,392.00,0.01526,4.0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,0,
Sesame oil,sesame-oil,3.22,140.00,0.02300,3.0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,0,
"Sesame oil, or extra virgin olive oil",sesame-oil,3.22,140.00,0.02300,3.0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,0,
Canola oil,oil,4.12,"1,344.00",0.00307,2.0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,0,
Chicken fat,chicken-fat,3.78,454.00,0.00833,2.5,0,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,0,/misc/slow-cooker-chicken
White vinegar,white-vinegar,3.74,"3,780.00",0.00099,0.0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,0,
"White vinegar, or apple cider vinegar",white-vinegar,3.74,"3,780.00",0.00099,0.0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,0,
Apple cider vinegar,acv,2.32,896.00,0.00259,0.0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,40,
Balsamic vinegar,balsamic,3.92,236.60,0.01657,0.0,50,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,0,
Ken's Balsamic Vinaigrette,kens-balsamic,3.34,480.00,0.00696,2.3,15,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,6.5,0.0,0.0,0.0,0,0,https://amzn.to/4uhMXvT
"Rice vinegar, unsweetened",white-vinegar,2.92,360.00,0.00811,0.0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,10,https://amzn.to/43hdvlT
Red wine vinegar,red-wine-vinegar,2.84,480.00,0.00592,0.0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,0,
Vital wheat gluten,vital-wheat-gluten,23.74,"1,816.00",0.01307,8.6,51,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,100,15,https://amzn.to/4kgguB9
All purpose flour,white-wheat,4.57,"4,540.00",0.00101,2.0,75,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,75,10,
Pasta,pasta-white,0.96,454.00,0.00211,7.7,50,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,75,10,
Panko breadcrumbs,breadcrumbs,1.87,224.00,0.00835,4.0,71,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,75,10,
Whole wheat flour,whole-wheat,5.58,"2,240.00",0.00249,8.5,75,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,75,15,
Whole wheat bread,whole-wheat-bread,1.97,560.00,0.00352,8.3,59,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,75,15,/recipes/ww-bread
Whole wheat baguette,whole-wheat-bread,0.65,190.00,0.00342,8.4,74,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,75,15,/recipes/whole-wheat-baguettes
Whole wheat pita bread,whole-wheat-bread,0.27,60.00,0.00442,8.3,73,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,75,15,/recipes/pita
Whole wheat bagel,ww-bagel,0.38,103.00,0.00369,7.9,70,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,75,15,/recipes/whole-wheat-bagels
Whole wheat pasta,pasta,1.43,454.00,0.00315,7.3,50,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,75,15,
Whole wheat pizza dough,pizza-dough,1.37,586.00,0.00234,8.2,74,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,75,15,/recipes/pizza
Whole wheat tortilla,tortilla,3.18,454.00,0.00700,7.9,30,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,75,15,/recipes/tortilla
Pretzels,pretzels,0.99,283.00,0.00350,3.0,83,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,75,0,
Shredded wheat cereal,shredded-wheat-cereal,2.94,464.12,0.00633,7.4,48,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,75,15,https://amzn.to/4m1zWDi
Sourdough starter,sourdough-starter,2.79,"2,240.00",0.00125,8.5,54,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,75,15,/misc/whole-wheat-sourdough#starter
Sourdough Discard Flatbread,sourdough-flatbread,0.18,96.00,0.00188,8.2,54,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,75,15,/recipes/sourdough-flatbread
Phyllo dough,phyllo,2.99,454.00,0.00659,3.8,60,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,75,15,https://amzn.to/4uKqFT3
Oat flour,oat-flour,3.98,"1,176.00",0.00338,9.4,40,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,50,/misc/homemade-flours
"Oat flour, or almond flour",oat-flour,3.98,"1,176.00",0.00338,9.4,40,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,50,/misc/homemade-flours
Rolled oats,oats,3.98,"1,176.00",0.00338,9.4,40,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,50,
Quick oats,oats,3.98,"1,176.00",0.00338,9.4,40,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,50,
"Rolled oats, or quick",oats,3.98,"1,176.00",0.00338,9.4,40,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,50,
"Quick oats, or rolled",oats,3.98,"1,176.00",0.00338,9.4,40,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,50,
"Quick oats, or oat flour",oats,3.98,"1,176.00",0.00338,9.4,40,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,50,
Graham cracker,graham-crackers,2.22,407.52,0.00545,3.0,74,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,25.8,0.0,0.0,0.0,75,50,
Gluten free graham crackers,gf-graham-cracker,1.42,300.00,0.00473,8.4,39,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0.0,3.2,0.0,0.0,0,50,/recipes/gf-crackers
Healthier Graham Cracker Pie Crust,pie-crust,1.53,255.00,0.00600,8.4,39,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0.0,3.8,0.0,0.0,0,50,/recipes/pie-crust
"Healthier Graham Cracker Pie Crust, chocolate",pie-crust-choc,1.53,255.00,0.00600,8.4,39,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0.0,3.8,0.0,0.0,0,50,/recipes/pie-crust
Cornstarch,cornstarch,1.82,448.00,0.00406,3.5,70,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,10,
Corn on the cob,corn,0.50,102.00,0.00490,8.4,55,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Frozen corn,corn,2.48,"1,811.20",0.00137,8.4,38,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Cornmeal,cornmeal,1.56,905.60,0.00172,6.0,68,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,10,
Popcorn kernels,popcorn,2.00,908.00,0.00220,9.4,65,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,15,https://amzn.to/43zN9KE
Gluten Free Oat Wraps,oatwraps,0.55,225.00,0.00244,9.1,40,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,50,/recipes/oat-wraps
Farro,farro,3.50,396.20,0.00883,9.3,63,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,75,15,
Rye flour,rye,9.66,"1,362.00",0.00709,9.3,70,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,50,15,
Spelt flour,spelt,57.99,"11,350.00",0.00511,9.4,55,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,75,15,
Millet flour,millet-flour,3.59,566.00,0.00634,9.0,70,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,15,https://amzn.to/4dLczd1
Barley,barley,1.39,454.00,0.00306,9.5,35,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,50,15,
Quinoa,quinoa,6.22,905.60,0.00687,9.3,53,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,15,
Brown rice,brown-rice,1.64,896.00,0.00183,7.4,54,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,15,
Cilantro Lime Brown Rice,cilantro-lime,2.87,600.00,0.00478,5.9,52,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,8,/recipes/cilantro-lime-rice
Wild rice,wild-rice,5.29,454.00,0.01165,9.1,57,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,15,https://amzn.to/3N0HFUU
Rice paper,rice-paper,2.99,136.00,0.02199,5.2,80,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,10,https://amzn.to/4dGuPpJ
Couscous,couscous,7.99,749.95,0.01065,8.2,60,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,75,15,https://amzn.to/3HfZbla
Bulgur,bulgur,7.99,"1,589.00",0.00503,9.5,47,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,75,15,https://amzn.to/4oJJ5lk
Unsweetened tomato sauce,tomato-sauce,1.48,812.00,0.00182,8.7,38,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Tomato sauce,tomato-sauce,1.48,812.00,0.00182,8.7,38,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Simple pasta sauce,pasta-sauce,2.69,800.00,0.00336,8.7,34,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,/recipes/pasta-sauce
Tomato,tomato,0.98,454.00,0.00216,9.9,38,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Cherry tomatoes,tomato,2.99,283.00,0.01057,9.9,38,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Diced tomatoes,diced-tomatoes,0.99,410.35,0.00241,8.7,38,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
"Diced tomatoes, unsalted",diced-tomatoes,0.99,410.35,0.00241,8.7,38,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Petite diced tomatoes,diced-tomatoes,0.99,410.35,0.00241,8.7,38,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Crushed tomatoes,crushed-tomatoes,1.52,784.00,0.00194,8.7,38,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
"Tomato paste, canned",tomato-paste,0.86,168.00,0.00512,8.7,38,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Tomato paste,tomato-paste,0.86,168.00,0.00512,8.7,38,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Sun dried tomatoes,sun-dried-tomatoes,3.49,113.20,0.03083,9.7,38,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Butternut squash puree,butternut-puree,2.37,900.00,0.00263,9.8,75,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,/recipes/roasted-butternut-squash-puree
Pumpkin puree,pumpkin-puree,1.47,424.50,0.00346,9.5,75,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,/recipes/pumpkin-puree
Pumpkin Puree,pumpkin-puree,1.47,424.50,0.00346,9.5,75,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,/recipes/pumpkin-puree
"Pumpkin puree, or sweet potato",pumpkin-puree,1.47,424.50,0.00346,9.5,75,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,/recipes/pumpkin-puree
"Pumpkin puree, or sweet potato puree",pumpkin-puree,1.47,424.50,0.00346,9.5,75,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,/recipes/pumpkin-puree
Sweet potato puree,sweet-potato-puree,1.47,424.50,0.00346,9.2,88,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,/recipes/sweet-potato-puree
"Sweet Potato puree, Pumpkin puree, or Butternut Squash puree",sweet-potato-puree,1.47,424.50,0.00346,9.2,88,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,/recipes/sweet-potato-puree
Butternut squash,butternut-squash,0.79,454.00,0.00174,9.8,75,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
"Frozen butternut squash, thawed",butternut-squash-frozen,1.99,454.00,0.00438,9.8,75,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
"Sweet Potato puree, or Pumpkin puree",sweet-potato-puree,1.47,424.50,0.00346,9.2,88,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,/recipes/sweet-potato-puree
Cooked sweet potato,sweet-potato-puree,2.79,"1,362.00",0.00205,9.2,88,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,/recipes/sweet-potato-puree
Sweet potato,sweet-potato,2.79,"1,362.00",0.00205,9.2,70,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Sweet potato toast,sw-pot-toast-100g,0.33,35.00,0.00943,9.2,70,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,/recipes/sweet-potato-toast
Potato,potato,2.79,"1,362.00",0.00205,7.2,85,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Plantain,plantain,0.60,454.00,0.00132,7.2,66,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
"Plantain, yellow",plantain,0.60,454.00,0.00132,7.2,66,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
"Plantain, green",plantain,0.60,454.00,0.00132,7.2,44,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Artichokes,artichoke-canned,2.22,385.00,0.00577,10.0,43,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Carrots,carrots,1.08,454.00,0.00238,9.6,49,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Baby carrots,carrots,1.08,454.00,0.00238,9.6,49,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Cabbage,cabbage,0.68,454.00,0.00150,9.9,45,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Coleslaw mix,cabbage,1.97,454.00,0.00434,9.8,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Cucumber,cucumber,0.64,200.00,0.00320,9.6,15,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Romaine lettuce,lettuce,3.62,600.00,0.00603,10.0,15,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
"Frozen broccoli, thawed",broccoli-frozen,1.16,336.00,0.00345,10.0,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Vegetables,broccoli-frozen,0.98,336.00,0.00292,10.0,45,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Acorn squash,acorn-squash,0.99,454.00,0.00218,9.8,71,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
"Ginger, fresh",ginger,3.67,454.00,0.00808,9.1,15,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Eggplant,eggplant,1.58,454.00,0.00348,9.9,15,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Grape leaves,grape-leaves,17.49,454.00,0.03852,2.4,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,https://amzn.to/3Hec3rW
